text,label
Excess SLR holdings are a component of the liquidity coverage ratio (LCR).,dovish
paper trading overseas reduced by three bps while that IV.1.3 Corporate Bond Market of ICICI Bank moderated by four bps in H2 over H1.,dovish
"In terms of sub-groups, the duration of price stickiness vegetables, the size of monthly price changes, on an within food group is lower for perishable items like average, has been in the range of 0.24 per cent to 0.62 per vegetables and fruits, signifying more frequent incidence cent (Chart II.1.2).",dovish
"The Growth in bank credit moderated in H1:2025-26, depreciation of INR’s 40-currency REER remained although the recent data shows signs of an uptick.",dovish
"Thereafter, milder up, large favourable base effects offset the muted than usual summer temperatures dampened the extent of price reversals during the summer months, Table II.1: Major Episodes of Decline in as reflected in below historical average price build-up Food Inflation leading to lower-than-expected realised inflation in Period* Cumulative Decline No.",dovish
banks in parking surplus liquidity for longer tenors The INR traded with a depreciating bias but remained as reflected in the lower bid-offer ratio in the main among the least volatile EME currencies during H1.,dovish
"While EMEs seem to be against major currencies continued through Q2 and Q3, recovering, growth in major AEs remains subdued.",dovish
"enhanced amount of `20,000 crore on February 10, Yields spiked following the announcement of 2021 at lower than the market’s expected cut-offs; Chart IV.6: 10-year Yield, Repo Rate and Liquidity Conditions Sources: RBI; and Financial Benchmark of India Pvt Ltd. (FBIL).",dovish
"Bank credit growth has, however, currencies have appreciated against a weakening remained tepid.",dovish
The domestic recovery Chapters II and III analyse macroeconomic was gaining traction but was just about catching developments related to inflation and economic up with pre-pandemic levels and downside risks activity during H2:2021-22 (October-March).,dovish
"In contrast, EMDEs are expected to sustain the households expected infl ation to be 7.2 per cent three recent pick-up in growth.",dovish
"growth declined, pulling down the sub-sectoral activity As different fi ltering techniques are highly sensitive to (Chart III.23).",dovish
"Going Manufacturing firms participating in the Reserve forward, however, the build-up in vegetables prices Bank’s industrial outlook survey reported a fall in is likely to reverse with arrivals of the kharif harvest input costs in Q2:2019-20 on account of lower raw and winter supplies.",dovish
"Drivers and Management of Liquidity Surplus liquidity moderated in H1:2022-23, driven by the public’s currency demand, net forex outflows and the build-up in government’s cash balances.",dovish
"The agricultural sector remains a bright low in September 2020. spot, supported by a normal monsoon, robust kharif sowing and adequate reservoir levels.",dovish
"The growth in all- uncertainty about future demand, even as sales India housing prices moderated in Q3, with its pace recorded some uptick in momentum.",dovish
"industry, credit growth to beverage and tobacco accelerated, but credit flows to chemical and chemical While growth (y-o-y) of personal loans accelerated products, cement and cement products, construction marginally to 17.0 per cent in February 2020 from and infrastructure decelerated.",dovish
"After continuing with the pause that ECB initiated in Amongst other major AEs, the RBA, the Central Bank October 2023, it lowered its three key interest rates of Iceland8, the Bank of Israel, the Norges Bank, and Chart V.5: Policy Rate Changes – Select Major Economies Source: Bloomberg.",dovish
"= 1 115 The rupee traded with an appreciating bias against the 1, 110 US dollar in the first half of October, buoyed by the b er m weakness in the US dollar on deferment of monetary e e c 100 D policy normalisation in the FOMC’s September 17-18 x: 95 e policy meeting (Chart IV.7a).",dovish
Actual growth turned out to be the same III.1.1 Private Final Consumption Expenditure as the projection (Chart III.2).,dovish
Only thermal power production remained in contraction IT companies maintained sales growth although at a during July-August 2020 (Chart III.19).,dovish
"The interest coverage ratio (ICR)7 of listed private Within the services sector, the ICR of IT companies manufacturing companies improved in Q1:2024-25, remained stable while that of non-IT companies indicating comfortable debt servicing capacity and stayed above the threshold level of unity (Chart III.8).",dovish
"Chapter I Macroeconomic Outlook eased, though global sentiments remained weak.",dovish
MONETARY POLICY REPORT APRIL 2016 Chart V.1: Relative Contribution to Chart V.2: Composite Leading Indicators for World GDP Growth Major Economies 7.0 7.0 6.0 5.0 5.0 101 nt s 4.0 e nt a g e p oi .,dovish
"The broader the escalation of India-Pakistan conflict in early May, market indices outperformed the benchmark during but rose sharply thereafter in mid-May, following H1, with the BSE MidCap and BSE SmallCap index the announcement of a ceasefire agreement and gaining by 7.7 per cent and 12.1 per cent, respectively a record surplus transfer by the Reserve Bank to (Chart IV.15a).",dovish
"On the other hand, urban Real GDP declined by an unprecedented 23.9 per demand remains weak.",dovish
"Box V.1: Impact of the Russia-Ukraine War on the Global Macroeconomy Geopolitical hostilities in Ukraine are casting a strong edible oil, wheat, minerals and metals produced by these downside to the global macroeconomy.",dovish
"Global supply chains are gradually Merchandise exports growth 7.2 6.3 Merchandise imports growth 19.0 5.7 normalising, although they remain vulnerable Current account balance (per cent of GDP) -3.4 -2.7 to geopolitical disturbances, pandemic-related @: Q2:2023-24 lockdowns in major production hubs, and financial Note: GNDI: Gross National Disposable Income.",dovish
"Monsoon 10 per cent above Normal for 2020 long period average Brent fell further to US$ 23 on March 30, 2020 while for 2019 US crude prices dipped briefly below US$ 20.",dovish
A reading above 50 for the diffusion index signals a broad expansion or the extent of generalisation of price increases and a reading below 50 signals a broad-based price decline.,dovish
"With the resulting compression in the limits, extension of production subsidy, withdrawal demand supply gap, spot electricity prices fell below of the mandatory export quota as well as extending the average price in the power purchase agreement fi nancial assistance to the sugar mills through soft (PPA) contracts.",dovish
Chapter IV Financial Markets and Liquidity Conditions Chart IV.22: Median Spread - WALR (Fresh loans) Chart IV.23: Bank Group-wise Share of Fresh over 1-Year MCLR Rupee Loans Source: RBI.,dovish
Monetary Policy Report April 2022 to moderate to 4.5 per cent in Q3:2021-22 before as the seasonal correction in some vegetable increasing to 5.8 per cent in Q4:2021-22.,dovish
"Russia, after hiking its policy rate in the China-US trade conflict gained traction.",dovish
"On the supply side, the III.1 Aggregate Demand stringent nation-wide lockdown, social distancing norms and the mass exodus of migrant workers led The August 2020 data release of the National to a steep decline in manufacturing and plummeting Statistical Office (NSO) revealed that aggregate construction activity.",dovish
sheet of banks and corporates while improving world trade was expected to support external demand.,dovish
"They, however, slid marginally in June-July prices fell sharply on waning demand, triggered by as dairy prices fell on weak demand.",dovish
"During March, T-bill rates due to lower-than-expected US CPI inflation print, softened tracking global and domestic developments fall in crude oil prices and the inclusion of Indian (Chart IV.9).",dovish
"making it the only major economy to register growth Sources: Bloomberg; Official statistical agency of each country and IMF WEO Update, January 2021. in a pandemic-ravaged year (Table V.2).",dovish
It is expected that credit growth in ‘banks’ credit to NBFCs’ as well as services sector may improve going forward.,dovish
*: Average of growth from August 2015 to August 2025.,dovish
"with balance sheet stress for a protracted period, await a recovery in demand that will rekindle In the organised sector, corporate sector performance pricing power of firms so that they can rebuild their points to a moderation in per employee staff cost of bottom lines.",dovish
Prices of other global commodities the form of de-escalating trade tensions between the ebbed on fears of weakening global demand.,dovish
"November 18 0 -806 Furthermore, the Reserve Bank decided to augment December 12 8 -996 January 23 0 -329 its liquidity management toolkit and inject rupee February 8 11 -687 liquidity for longer duration through long-term March 18 1 -570 foreign exchange buy/sell swaps.",dovish
"The growth of public administration, defence and other services (PADO) moderated in Q3:2019-20, The residential real estate sector has continued to reflecting subdued revenue expenditure (net of suffer from low demand and large inventory overhang.",dovish
"Accordingly, and worsening growth outlook, the MPC decided to it unanimously decided to increase the policy repo keep the policy repo rate unchanged at 4 per cent.",dovish
"The peak level of liquidity absorbed reached `7,956 billion on January 4, 2017 (`2,568 billion absorbed through reverse repos and `5,466 billion through CMBs under the MSS).",dovish
"Meanwhile, nurtured by the appreciable decline in infections, the EMEs are awash with capital flows and rotations stepping up of the scale and speed of vaccinations, thereof on taper talk and carry trade and currencies and the congenial financial conditions engendered have turned volatile as a result.",dovish
"The liquidity infusing impact of CRR reduction, drawdown of GoI cash balances and excess reserves was overwhelmed by the withdrawal of banking system liquidity due to increase in CiC and the Reserve Bank’s forex market operations.",dovish
A part of the credit slowdown in H2 of 2016-17 was overstated by the swapping of loans into UDAY bonds and the use of demonetised currency notes for repaying bank loans.,dovish
"The PRN 5 50 0 for major crops was below normal except for cotton, -5 pulses and oilseeds (Chart III.19e and f).",dovish
"To improve domestic supplies, the government eased restrictions and issued licenses for imports, reduced import duties on masur, released 2 lakh tonnes of tur (arhar) from the buffer stock and extended the time limit for import of tur under the import quota of 4 lakh tonnes for 2020-21.",dovish
"In Indonesia, it has been softening of inflation used by the Fed, remains below the target.",dovish
"The share of non-banking financial companies 21 (up to September 11, 2020) from around `1.75 lakh (NBFCs) in CP issuances, which was low at the Chart IV.5: Primary Issuances of Commercial Paper a: Systemic Liquidity, Issuances and WADR b: Institutional Break-up Source: RBI; CCIL: F-TRAC; and RBI staff estimates.",dovish
"Monetary Policy Report October 2021 Chart III.14: Exports Growth a: Exports Growth Relative Contribution b: Major Drivers of Exports in April-August 2021: Relative Contribution Sources: DGCI&S and CPB, Netherlands.",dovish
"Two developments in the month of rupee created congenial conditions for foreign May, however, contributed to considerable softening portfolio inflows.",dovish
"The slowdown in credit growth was spread across all bank groups, especially foreign banks.",dovish
Announcements of policy stimulus by China into contraction in Q1 on falling export orders.,dovish
"a sharp acceleration in allied activities in the agricultural sector posted a growth of 8.1 per cent in Chart III.2: GDP Growth: ActualversusProjected Q1:2018-19, which was significantly above trend.",dovish
"Rolling period standard deviations of the call Maehle, N. (2014), “Monetary Policy Implementation: rate for 7 days to 90 days have declined to a tenth from 4.5 per cent in 2006-07 to around 0.4 per cent in 2014- Operational Issues for Countries with Evolving 15 and further to 0.2 per cent in 2015-16.",dovish
40 PB Monetary Policy Report April 2018 Chapter IV Financial Markets and Liquidity Conditions IV.,dovish
MONETARY POLICY REPORT OCTOBER 2017 signifi cantly in the months of July and August with a growth rate of 7.5 per cent (from 2.1 per cent last year) with reports of surge in rural demand for irrigation.,dovish
"In view of the persistent liquidity surplus, banks Monetary policy transmission was more than reduced their recourse to CDs as fresh issuances proportionate in the triparty repo and market repo declined to `1,86,954 crore during H2:2019-20 from segments, facilitated by large surplus liquidity `2,01,302 crore during H1.",dovish
"Illustratively, the latest data on GDP, which became available on August 31, 2016 pertain to April-June 2016; GDP data for the quarter July-September 2016 – the quarter that is most relevant to this MPR as a starting point – will be released at the end of November 2016.",dovish
"Overall, FPI outflows were of the order of US$ 7.1 billion in 2019-20 (up to March 31, The slowdown in y-o-y GVA growth reflected the 2020).",dovish
"Moreover, production remained food price build-up in the financial year so far has robust, with an increase of 2.9 per cent for rice and 1.5 been lower than historical patterns, even as price per cent for wheat (as per the 4th Advance Estimates build-ups in oils and fats, eggs, meat and fish, non- (AE) 2020-21) over 2019-20 Final Estimates (FE).",dovish
"First, lower transportation to 0.9 during the crisis period from 0.5 in the pre-crisis costs, removal of trade barriers and increase period, before falling to 0.4 in the succeeding regime.",dovish
Revenue and Expenditure (As per cent of budget estimates) (Y-o-y growth in per cent) 90 20 81.4 75 11.5 9.8 5.5 30 22.7 18.9 -5 -10 0 -15 Revenue deficit Gross fiscal deficit Primary deficit Revenue receipts Revenue expenditure Capital expenditure 2024-25 2025-26 2024-25 over 2023-24 2025-26 over 2024-25 Note: Data pertain to 24 States/UTs.,dovish
The share of the collateralised money market IV.1.1 Money Market (triparty repo and market repo) in the overnight money market volume increased in H2:2019-20 Money markets have remained broadly resilient (Chart IV.3).,dovish
"in September 2025 (up to September 25) over March Overseas issuances declined significantly to ₹3,243 2025 (Chart IV.13a).",dovish
"The Japanese market outperformed its As the growth outlook dimmed and recessionary peers on stable inflation and the continuation of fears rose, the short end of the yield curve hardened ultra-accommodative monetary policy to support while long-term yields softened, causing yield curve economic recovery.",dovish
"interior, real GDP fell by a record 23.9 per cent year- In these conditions, the recovery of the economy on-year (y-o-y) in Q1:2020-21 (April-June 2020).",dovish
"At the same time, the strong impetus from fiscal spending during Q3:2016-17 to Q1:2017-18 appears to be waning and the rapid pace of import growth is sapping net external demand.",dovish
"of leverage in determining fixed investment while sales growth, operating profit and market price to book References: value positively affect investment (Table III.1.1).",dovish
"Thermal power generation per cent in Q3:2022-23 and 5.2 per cent in January increased by 7.3 per cent in Q3 and contributed as compared with 1.6 per cent in Q2, supported 75.8 per cent of total generation.",dovish
"Forward premia eased across tenors during H1:2023- 24, driven by narrowing interest rate differentials.",dovish
The UK composite PMI at 48.5 in Table V.1: Real GDP Growth (Per cent) September was the weakest since January 2023 and signalled a reduction in private sector output amidst Country Q3- Q4- Q1- Q2- 2022 2023 2024 2022 2022 2023 2023 (P) (P) weak manufacturing activity.,dovish
"Private V.1 Global Economic Conditions investment growth, however, shrank to a record low.",dovish
"In terms of weighted MONETARY POLICY REPORT OCTOBER 2017 contributions, the slowdown was led by capital goods, period.",dovish
"The services PMI remained in expansionary zone at 60.5 in Q1:2024-25 and 59.6 in Q2, slightly down from 61.2 in Q4:2023-24, supported by strong demand and new business activity (Chart III.25b).",dovish
"Money supply (M3) increased by 10.8 variable rate repo (VRR) auction (main operation) was per cent (y-o-y) as on September 22, 2023 as compared conducted to inject liquidity amounting to `50,000 with 8.6 per cent in the corresponding period of the crore on May 19, 2023.",dovish
"Incoming data, however, to preceding quarters – underpinned by domestic point to a slowdown in momentum as the Japanese demand, supported by improved consumer and economy entered 2018.",dovish
"Despite a steep increase in subsidies outgo in 2022-23 (RE), the Central Government’s total expenditure was contained at 15.4 per cent of GDP, lower than that in 2021-22 (Table III.2).",dovish
The Chapter V External Environment unemployment rate continued to decline despite but it remains below its pre-pandemic level of output.,dovish
"Nevertheless, the accommodative stance as long as necessary to inflationary pressures became accentuated, as set out sustain growth on a durable basis and mitigate the earlier, with erosion in fiscal positions.",dovish
"Chapter IV Financial Markets and Liquidity Conditions large drawdown of GoI balances, with the Central frictional liquidity movements.",dovish
"Such inter alia country-specific factors, though they have Chapter V External Environment risen recently in most countries on expectations The Japanese yen depreciated driven by widening of shrinking global liquidity and tighter domestic growth differentials with the US and accommodative monetary policy stances.",dovish
"realised amount being used for capital expenditure, were lower than past trends (Table III.2).",dovish
"With the growth of imports well Exports of iron ore, cotton yarn, plastic and Chart III.15: Exports Growth a: Exports Growth-Relative Contribution b: Major Drivers of Exports in April-August 2022: Relative Contribution *Q2: July-August Sources: DGCI&S and CPB, Netherlands.",dovish
"Monetary Policy Report April 2024 II.3 Costs 2024 due to decline in prices of HSD, fodder, pesticides, and fertilisers.",dovish
"As regards to animal-based protein items, prices declined in the case of meat and fish (weight of Sources: World Bank Pink Sheet; NSO; and RBI staff estimates.",dovish
"in Q1:2019-20 on weak private consumption and investment and high frequency indicators for Q2 In its August meeting, the MPC reduced the policy point to a slowdown in the various constituents of repo rate by a further 35 bps to 5.40 per cent on aggregate demand deepening.",dovish
"Restrained by languishing investment and a distinct slowdown in exports, real GDP growth fell below 6 per cent in Q1:2017-18 for the fi rst time in thirteen quarters.",dovish
"the second consecutive quarter on account of strong investment and public sector spending, while rising Despite some slowdown more recently, Japan recorded imports diminished the contribution of net exports.",dovish
"Since the Reserve Bank regularly injected build-up of government cash balances resulted in durable liquidity through OMOs, net LAF positions deficit, which was managed through repo operations mirrored largely movements in government cash (Table 1V.4).",dovish
"Chapter V External Environment In Q1:2020, the rapid spread of COVID-19 infections Table V.1: Real GDP Growth (q-o-q, annualised) in Italy, Spain and other European countries is likely (Per cent) to impact manufacturing and services sectors.",dovish
CP issuances declined moderately with the announcement of additional borrowing of 2 Commonly referred as Operation Twist (OT).,dovish
"A retrenchment of investment Demand conditions were undermined by a deepening has been underlying the slowdown; although public of the contraction in gross fi xed capital formation investment has been stepped up, crowding-in effects that set in from Q4 of 2015-16, besides a slowdown on private investment are not yet discernible.",dovish
The growth in its share in overall GDP inched up to 59.9 per cent from 54.0 per cent a year ago.,dovish
Capital expenditure registered a Table III.2: Budgetary Position of the Central Government during April-August 2020-21 Item (` thousand crore) (Per cent) Budget Estimates Actuals Percent to BE Growth Rate 2019-20 2020-21 Apr-Aug Apr-Aug Apr-Aug Apr-Aug Apr-Aug Apr-Aug 2019 2020 2019 2020 2019 2020 1.,dovish
"In fact, aggregate demand was propped up by the front-loading of plan revenue expenditure; excluding the support from Table III.1: Real GDP Growth (2011-12 Prices) (Per cent) Item 2014-15 2015-16 Weighted 2014-15 2015-16 2016- contribution 17 2015-16 * Q1 Q2 Q3 Q4 Q1 Q2 Q3 Q4 Q1 I.",dovish
"It is designed to enable liquidity absorption through reverse repos, open the Reserve Bank to deal with extraordinary situations market operations and the cash reserve ratio (CRR) are in which it has to absorb massive amounts of liquidity.",dovish
"Given that data releases are scattered over the course of a month, the nowcast is updated as soon as new information comes in, thus available.",dovish
"Net accretions to non-resident deposits surged to US$ 14.3 billion during April-January 7.4 2024-25 from US$ 10.2 billion in the previous year, 5 6.8 on the back of strong deposit growth in all three accounts i.e., FCNR(B), NRE and NRO.",dovish
"After registering a robust growth and 0.5 per cent, respectively (Table III.5).",dovish
"Overseas issuances at (CDS) spreads that are trading overseas for the State 29,029 crore during H1 were lower than 31,492 Bank of India and ICICI Bank reduced by 3 bps each crore during H2:2023-24.",dovish
Staff costs in the manufacturing sector declines were likely on account of demonetisation- are also expected to increase in Q1:2017-18.,dovish
"Lower expected inflation raises the real interest rate, Optimal monetary policy responses have been calibrated without any need for an increase in the nominal rate under three alternative credibility scenarios in a model (in fact, in the model, the nominal rate declines with a with India specific features - low credibility (0.25); lag).",dovish
muted due to weakening demand for services amidst sporadic COVID-19 flare-ups and associated stringent response to the pandemic is estimated at US$19.0 restrictions.,dovish
"On the other hand, (Chart III.1.2), captures the collapse in activity in Q1 and a hesitant recovery in ensuing months with the gradual opening of the economy.",dovish
"The global composite PMI registered a mild gain in In Russia, incoming data suggest that the economy February – after declining to 28-month low in January was showing some signs of recovery in Q1 as – on improved growth in services (Chart V.1a).",dovish
"On the supply side, a sharp deceleration in manufacturing essentially reflected weaknesses in the organised sector.",dovish
"at 25 bps above the policy repo rate; thus, the width of the LAF corridor was restored to its pre-pandemic IV.3 Liquidity Conditions and the Operating level of 50 bps and became symmetrical around the Procedure policy repo rate again.",dovish
": (i) excluding food and fuel; (ii) excluding food, petrol and diesel; (iii) excluding (Cond...) Monetary Policy Report April 2019 Table II.1.1: Properties of CPI Core Inflation Measures Ease of Equality Less Future Co Unbiasedness Attraction Correlation Properties Communication of means variance inflation integrated condition with past Measures predictor monetary policy (1) (2a) (2b) (3) (4a) (4b) (4c) (5) 1.",dovish
GVA growth could weaken by around 20 bps relative Recent initiatives and reforms by the government to baseline paths by March 2018.,dovish
"The EMEs in recent months notwithstanding, risks to the MSCI Emerging Market Currency Index increased by recovery remain on the downside due to the sizeable 1.6 per cent in Q2:2020 and by a further 2.7 per cent aggregate demand compression effect and continued in Q3:2020. disruption of supply.",dovish
"Keeping in view the capital needs of the corporate The global growth and trade outlook is clouded by sector, all-in-cost norms and end-use provisions rising protectionist tensions.",dovish
"Two key indicators contracted by major financing channels also increased of investment demand, viz., production and imports in H1:2019-20 over H1:2018-19. of capital goods have remained in contraction in January/February 2020 as well (Chart III.6a).",dovish
"The depreciation, however, could have prices; and (f) the implications of all these factors for a favourable impact on growth in 2017-18 through a international financial markets.",dovish
"Manufacturing firms expect an uptick for the manufacturing, infrastructure and services in input prices in Q3, with selling price growth sectors is expected to moderate in Q3:2023-24.",dovish
"The “nowcasting” process involves analysing a number of leading and concurrent indicators of economic activity through a dynamic factor model (DFM) to estimate GVA growth for the relevant quarter, as well as the immediately preceding and following quarters.",dovish
"Monetary Policy Report October 2021 III.2.2 Industry Table III.7: Kharif Crops Production 2021-22 (Lakh tonnes) Industrial GVA posted y-o-y growth of 40.4 per cent Item 2020-21 2021-22 2021-22 in Q1:2021-22, aided by a favourable base effect First Fourth First Growth (per cent) (31.0 per cent contraction last year).",dovish
"In Q4, electricity demand growth increased to 3.5 regions (Table III.15).",dovish
"Still signifi cant fi nancial stress in large Even though private fi nal consumption expenditure brown fi eld projects, especially in sectors such as (PFCE) growth decelerated in Q1 in relation to iron and steel, construction, textiles and power immediately preceding quarters in tandem with continues to inhibit bank credit fl ows.",dovish
"The thick red shaded area represents 50 per cent confidence interval, Merchandise imports growth -4.5 6.0 implying that there is 50 per cent probability that the actual outcome will be Current account balance (per cent of GDP) -1.5 -1.6 within the range given by the thick red shaded area.",dovish
"All major Brent crude price declined sharply by 20.7 per components such as export orders, international air cent between October 2018 and March 2019 on freight and automobile production have suffered loss mounting oil inventories in the US and on the back of momentum.",dovish
"During this period, Chapter IV Financial Markets and Liquidity Conditions non-financial corporates and NBFCs were the major in liquidity conditions from deficit to surplus since issuers in the CP market (Chart IV.3b).",dovish
"It was only in February that contraction in in crude oil prices, domestic LPG prices also collapsed food prices got arrested.",dovish
"A bank can borrow and retain cash as part of While the WACR (and call volumes) are sensitive to HQLA to avoid a fall in LCR, but in that case borrowed the LCR regulation, the overall impact on the WACR is liquidity cannot be used for non-HQLA asset fi nancing.",dovish
"Volume of liquidity absorbed through these operations is 100 bps below the key policy rate; floor of the corridor 13 Russia Yes restricted only by the limits (6.25 per cent from March 26, 2018).",dovish
"Crude oil prices rallied between January and pace of contraction in trade volume of EMEs reduced May on account of supply disruptions in several markedly in Q2, the slowdown in the trade volume OPEC countries and North America and a softening of AEs has continued since Q1 of 2015.",dovish
"The slowdown in global trade, which began in the V.2 Commodity Prices and Inflation later half of 2018, has continued in 2019, with Global commodity prices weakened as trade tensions contribution from EMEs slipping into contraction in intensified.",dovish
"extended into Q2:2018-19 in view of the weakness of In Q1:2018-19, 65 per cent of India’s merchandise the rupee.",dovish
"On the other hand, the momentum gained in May, weakened in June and July due to re- imposition of lockdowns by some states (Chart III.18c).",dovish
"According to the fourth advance estimates, oilseeds production surpluses as well as favourable base effects.",dovish
"Economic activity is expected to accelerate with the strengthening of investment activity, supported by consumption demand and robust credit growth.",dovish
"Third, global economic prospects have weakened significantly since the April MPR, due to multi- fell into contraction zone in August 2022 for the first pronged headwinds discussed earlier (Chart I.2).",dovish
"36 37 Monetary Policy Report April 2018 Chapter III Demand and Output Exclusion-based measures, viz., truncated IIP and IIP excluding digestive enzymes and antacids (DEA), tracked overall IIP growth (Chart III.21a).",dovish
"Hence, operate the economy at the technology possibility key to acceleration of India’s growth lies in frontier.",dovish
"However, yields softened sharply by around 45 bps thereafter due to the lower inflation print for February released on March 12 and the decision by the Government not to front-load its borrowings in H1:2018-19 which resulted in a sharp fall in G-sec yields of 29 bps in a single day on March 27, 2018.",dovish
"Notwithstanding recent improvements, the Government final consumption expenditure investment rate has declined significantly since (GFCE) supported aggregate demand in H2:2018-19, 2012-13, mirroring the decline in the saving rate especially in Q4.",dovish
"25 bps below the overnight policy rate; is the designated Minimum amount of RM 5 7 Malaysia No floor rate (3.0 per cent since January 25, 2018).",dovish
"Demand and Output Aggregate demand slowed down in the first quarter of 2016-17, restrained by weak investment, but consumption spending is gradually improving.",dovish
"Concomitantly, the weighted average domestic term The external benchmark-based pricing of loans deposit rate (WADTDR) on outstanding deposits (which has hastened adjustments by banks in their declined by 143 bps.",dovish
"GDP growth in Italy stagnated in Q2 as data showed signs of weakness for Q3 as consumer contraction in industry and agriculture activities was sentiment remained subdued, with industrial offset by an uptick in the services sector, though its production and retail sales weakening since July.",dovish
The marginal cost of funds-based lending rates linked marginal cost of funds-based lending rates and other loans declined (Table IV.11).,dovish
"Furthermore, the medium-term trade MONETARY POLICY REPORT APRIL 2017 outlook is expected to remain weak and is unlikely to trade.",dovish
"financial institutions (FIs) and banks softened by 2 Overall, the Reserve Bank successfully completed the bps (to 7.63 per cent) taking cues from easing G-sec gross market borrowing programme of the Central yields while those on NBFCs and corporates hardened Chapter IV Financial Markets and Liquidity Conditions IV.10a).",dovish
Farm exports recorded a turnaround from June after experiencing contraction in the three preceding months.,dovish
"Banks returned TLTRO 1,00,000 TLTRO funds amounting to `0.37 lakh crore – 33.1 per TLTRO (2.0) 50,000 Net OMO purchases 1,50,000 cent of the total amount of `1.13 lakh crore availed Special liquidity facility for mutual funds 50,000 under the scheme.",dovish
"Furthermore, in the US, yields are stress test results further boosted share prices still trading lower than at the beginning of 2017, as of banks.",dovish
"that of private sector banks (PVBs) (9.4 per cent), while (y-o-y) as on September 19, 2025 from 13.0 per cent credit growth of foreign banks decelerated (Chart a year ago, although an uptick in momentum was IV.23a).",dovish
"Domestic institutional investors (DIIs), on equity markets have remained resilient as compared the other hand, were net buyers amidst steady retail to most EMEs in 2022-23 (Chart IV.13b).",dovish
"In January 2020, while the IIP growth was positive at Chart III.16: Electricity Generation and 2.0 per cent, this was also broad-based.",dovish
are neither a substitute of the main operation nor The frictional liquidity conditions led to the WACR are they standing facilities – they are conducted at breaching the MSF rate on 18 occassions in H1:2023- the discretion of the central bank as per operational 24 – six in May; three in June; five in August; and four requirements.,dovish
"EME bond yields V.5 Conclusion rose in September, in line with the global trend The multi-speed economic recovery across countries (Chart V.8b).",dovish
"Furthermore, it was decided to reduce the statutory liquidity ratio (SLR) by 25 bps every calendar quarter until it reaches 18 per cent of NDTL to align the SLR with the liquidity coverage ratio (LCR) requirement.",dovish
"rate (NEER), the INR depreciated by 0.2 per cent dollar on the back of growth revival and robust (at end-March 2021 over the average of September foreign investments amidst a weakening US dollar 2020), while it depreciated by 1.4 per cent in terms of (Chart IV.13).",dovish
"Thereafter, market sentiment has been dampened by accelerating yields declined sharply on favourable inflation print wage and employment growth in the US, triggering for February 2018 and in response to the lower than fears of a faster pace of interest rate increases.",dovish
"The growth outlook is, however, months of contraction with services continuing to be mired in uncertainty as the soaring of energy prices in decline.",dovish
"Fertiliser sales also remained lower during January- III.1.2 Gross Fixed Capital Formation February, reflecting inventory de-stocking and lower Gross fixed capital formation (GFCF) expanded by imports amidst rising international prices.",dovish
